,id,timestamp,layer_type,method,local_port,remote_port,req_cf_ray,req_content_length,resp_content_length,resp_vary,status_code,target
39,OwVsXir0,08/Jun/2025:07:35:30 +0000,SINGLE_LAYERED,POST,1234,37836,94c6b67c3fe740c8-SIN,69.0,33,Origin,200,sql_injection
40,LDasesvK,08/Jun/2025:07:35:44 +0000,,POST,1234,51594,94c6b6d5bc7c49a2-SIN,48.0,62,Origin,401,ssrf
41,kOur4B4O,08/Jun/2025:07:36:01 +0000,SINGLE_LAYERED,POST,1234,37836,94c6b73ffd6e40c8-SIN,65.0,33,Origin,200,sql_injection
42,0D67iKI6,08/Jun/2025:07:36:44 +0000,,POST,1234,51594,94c6b84f5d535d17-SIN,52.0,62,Origin,401,ssrf
43,GlzlTqjo,08/Jun/2025:07:36:45 +0000,,POST,1234,51594,94c6b851db9e2739-SIN,59.0,62,Origin,401,ssrf
44,1Jgf9axu,08/Jun/2025:07:37:45 +0000,SINGLE_LAYERED,POST,1234,51594,94c6b9cc18eba0bc-SIN,66.0,62,Origin,401,xss
45,ysj01mO2,08/Jun/2025:07:37:46 +0000,,POST,1234,51594,94c6b9ced9e5fd2f-SIN,70.0,62,Origin,401,ssrf
46,t05MIrGy,08/Jun/2025:07:38:16 +0000,,GET,1234,47912,94c6ba8c68e9a8d3-SIN,,50,Origin,401,ssrf
47,zU7fmNj2,08/Jun/2025:07:38:16 +0000,,GET,1234,51594,94c6ba8c68eda8d3-SIN,,50,Origin,401,ssrf
48,9imaWVNW,08/Jun/2025:07:38:46 +0000,,POST,1234,51594,94c6bb494ca44047-SIN,71.0,62,Origin,401,ssrf
49,p3Bwd9oa,08/Jun/2025:07:38:47 +0000,,POST,1234,51594,94c6bb4bdc2aa132-SIN,70.0,62,Origin,401,ssrf
50,zWayIzyF,08/Jun/2025:07:39:14 +0000,SINGLE_LAYERED,POST,1234,51594,94c6bbf52db2eb9e-SIN,483.0,58,Origin,404,BENIGN
51,R4uCRbEY,08/Jun/2025:07:39:29 +0000,,GET,1234,51594,94c6bc53cf355e3c-SIN,,50,Origin,401,ssrf
52,K07oUUKH,08/Jun/2025:07:39:33 +0000,SINGLE_LAYERED,POST,1234,51594,94c6bc6bea9c5e3c-SIN,87.0,62,Origin,401,sql_injection
53,VUD7b2hY,08/Jun/2025:07:39:39 +0000,SINGLE_LAYERED,POST,1234,51594,94c6bc936d86aecd-SIN,483.0,58,Origin,404,BENIGN
54,YFUoET3e,08/Jun/2025:07:39:47 +0000,SINGLE_LAYERED,POST,1234,51594,94c6bcc59b9dfda7-SIN,105.0,50,Origin,401,xss
55,XvqwW2To,08/Jun/2025:07:39:47 +0000,SINGLE_LAYERED,POST,1234,51594,94c6bcc6dbe4fda7-SIN,105.0,33,Origin,200,xss
