layer_type,method,local_port,remote_port,req_content_length,resp_content_length,resp_vary,status_code,target,content_length_ratio,large_req,large_resp
SINGLE_LAYERED,OPTIONS,80,39486,0,0,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,0.0,0,0
SINGLE_LAYERED,POST,80,39486,50,62,Origin,401,ssrf,1.24,0,0
SINGLE_LAYERED,OPTIONS,80,39486,0,0,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,0.0,0,0
SINGLE_LAYERED,POST,80,39486,57,33,Origin,200,ssrf,0.5789473684210527,0,0
SINGLE_LAYERED,GET,80,39486,0,8846,Origin,200,ssrf,0.0,0,1
SINGLE_LAYERED,GET,80,39486,0,33,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,39486,0,33,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,39486,0,33,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,39486,0,8846,Origin,200,ssrf,0.0,0,1
SINGLE_LAYERED,GET,80,39486,0,291,Origin,200,ssrf,0.0,0,1
SINGLE_LAYERED,GET,80,39486,0,709,Origin,200,ssrf,0.0,0,1
SINGLE_LAYERED,GET,80,39486,0,33,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,39486,0,291,Origin,200,ssrf,0.0,0,1
SINGLE_LAYERED,GET,80,33686,0,34,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,OPTIONS,80,33686,0,0,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,0.0,0,0
SINGLE_LAYERED,POST,80,33686,0,49,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35992,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36010,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35992,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36010,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36040,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35992,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36020,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36032,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36050,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36046,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36078,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36010,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36040,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35996,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36066,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36078,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36040,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,35988,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36066,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36078,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36066,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36078,0,0,Origin,200,ssrf,0.0,0,0
SINGLE_LAYERED,GET,80,36066,0,0,Origin,200,ssrf,0.0,0,0
