layer_type,method,local_port,remote_port,req_content_length,resp_content_length,resp_vary,status_code,target,content_length_ratio,large_req,large_resp
SINGLE_LAYERED,POST,1234,38848,91,62,Origin,401,sql_injection,0.6813186813186813,0,1
SINGLE_LAYERED,POST,1234,38848,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,POST,1234,38844,541,58,Origin,404,BENIGN,0.10720887245841035,1,1
SINGLE_LAYERED,POST,1234,38848,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,POST,1234,38848,82,62,Origin,401,sql_injection,0.7560975609756098,0,1
SINGLE_LAYERED,POST,1234,38848,85,62,Origin,401,sql_injection,0.7294117647058823,0,1
Unknown,GET,1234,36924,0,50,Origin,401,ssrf,0.0,0,0
SINGLE_LAYERED,POST,1234,36924,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
Unknown,POST,1234,38818,86,62,Origin,401,ssrf,0.7209302325581395,0,1
Unknown,POST,1234,38844,88,62,Origin,401,ssrf,0.7045454545454546,0,1
SINGLE_LAYERED,POST,1234,38842,541,33,Origin,200,BENIGN,0.06099815157116451,1,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,87,62,Origin,401,sql_injection,0.7126436781609196,0,1
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
Unknown,POST,1234,38842,90,62,Origin,401,ssrf,0.6888888888888889,0,1
Unknown,POST,1234,38842,84,62,Origin,401,ssrf,0.7380952380952381,0,1
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
SINGLE_LAYERED,POST,1234,38842,131,33,Origin,200,BENIGN,0.25190839694656486,0,0
